obs_id,true_cell_id
0,0
1,1
2,2
3,3
4,7
5,8
6,9
7,10
8,12
9,14
10,15
11,16
12,17
13,20
14,21
15,22
16,23
17,24
18,26
19,27
20,29
21,30
22,31
23,32
24,33
25,34
26,36
27,37
28,38
29,40
30,41
31,42
32,43
33,44
34,47
35,49
36,50
37,52
38,53
39,54
40,57
41,58
42,59
43,60
44,62
45,63
46,64
47,65
48,66
49,67
50,68
51,69
52,71
53,73
54,74
55,77
56,79
57,80
58,81
59,82
60,84
61,85
62,87
63,88
64,89
65,90
66,91
67,92
68,93
69,94
70,95
71,96
72,97
73,98
74,99
75,100
76,101
77,102
78,103
79,104
80,106
81,107
82,108
83,109
84,110
85,111
86,113
87,114
88,115
89,116
90,117
91,119
92,120
93,121
94,122
95,123
96,124
97,125
98,126
99,127
100,129
101,130
102,131
103,133
104,134
105,135
106,136
107,137
108,139
109,141
110,142
111,143
112,144
113,145
114,146
115,147
116,148
117,149
118,150
119,151
120,152
121,153
122,154
123,155
124,156
125,157
126,158
127,159
128,160
129,161
130,162
131,163
