obs_id,true_cell_id
0,0
1,2
2,3
3,5
4,6
5,8
6,9
7,10
8,11
9,12
10,13
11,14
12,16
13,17
14,19
15,20
16,22
17,23
18,24
19,25
20,26
21,28
22,29
23,30
24,31
25,34
26,35
27,37
28,38
29,39
30,41
31,42
32,43
33,44
34,46
35,47
36,48
37,49
38,50
39,51
40,54
41,56
42,57
43,59
44,62
45,64
46,65
47,67
48,68
49,69
50,70
51,71
52,74
53,75
54,77
55,78
56,81
57,82
58,83
59,84
60,85
61,86
62,87
63,88
64,89
65,92
66,93
67,94
68,95
69,97
70,100
71,101
72,102
73,104
74,105
75,106
76,107
77,110
78,111
79,112
80,113
81,114
82,115
83,118
84,119
85,120
86,121
87,122
88,123
89,124
90,125
91,126
92,127
93,128
94,129
95,130
96,131
97,132
98,133
99,134
100,135
101,136
102,137
103,138
104,139
105,143
106,144
107,145
108,146
109,147
110,148
111,149
112,150
113,151
114,152
115,153
116,154
117,155
118,156
119,158
120,159
121,160
122,161
123,162
124,163
125,164
126,165
127,166
128,167
129,169
130,170
131,171
132,172
133,173
134,174
135,175
136,176
137,177
138,178
139,179
